Timestamp;TH/s
15/12/2017;13365181.67
16/12/2017;13523349.5
17/12/2017;14630524.31
18/12/2017;16946489.24
19/12/2017;13035760.95
20/12/2017;12663310.64
21/12/2017;12290860.32
22/12/2017;14432449.62
23/12/2017;12942648.37
24/12/2017;14153111.89
25/12/2017;12570198.06
26/12/2017;13221986.11
27/12/2017;14525562.2
28/12/2017;13873774.15
29/12/2017;15363575.41
30/12/2017;15363575.41
31/12/2017;15177350.25
1/1/2018;12567001.55
2/1/2018;12836998.47
3/1/2018;13008113.35
4/1/2018;13117252.39
5/1/2018;13122976.23
6/1/2018;13258718.87
7/1/2018;13341002.28
8/1/2018;13272432.77
9/1/2018;13368430.09
10/1/2018;13341002.28
11/1/2018;14026697.38
12/1/2018;14163836.4
13/1/2018;14299511.3
14/1/2018;14475256.51
15/1/2018;14599324.58
16/1/2018;14838353.74
17/1/2018;14833675.43
18/1/2018;15129631.58
19/1/2018;15382767.37
20/1/2018;15746650.06
21/1/2018;16332026.57
22/1/2018;16458594.46
23/1/2018;16616804.33
24/1/2018;16664267.29
25/1/2018;16974539.99
26/1/2018;17023682.87
27/1/2018;16967408.2
28/1/2018;17246038.93
29/1/2018;17181603.12
30/1/2018;17484215.98
31/1/2018;16726303.6
1/2/2018;16818731.94
2/2/2018;17022074.29
3/2/2018;17022074.29
4/2/2018;17576644.32
5/2/2018;17909386.34
6/2/2018;19217011.97
7/2/2018;19137736.16
8/2/2018;18706430.96
9/2/2018;18541640.05
10/2/2018;18170451.03
11/2/2018;17833177.56
12/2/2018;17751519.94
13/2/2018;18221051.25
14/2/2018;19200942.66
15/2/2018;19119285.04
16/2/2018;19405086.7
17/2/2018;19364257.9
18/2/2018;19282600.28
19/2/2018;19241771.47
20/2/2018;18598907.16
21/2/2018;19533925.73
22/2/2018;19511033.02
23/2/2018;19630098.71
24/2/2018;19419706.63
25/2/2018;19764592.33
26/2/2018;19764592.33
27/2/2018;19572380.79
28/2/2018;19700521.82
1/3/2018;20063588.06
2/3/2018;20298513.27
3/3/2018;20490724.81
4/3/2018;20640222.67
5/3/2018;20704980.05
6/3/2018;21040098.53
7/3/2018;21185016.77
8/3/2018;21638987.19
9/3/2018;21206503.43
10/3/2018;21317229.69
11/3/2018;21410702.21
12/3/2018;21527542.86
13/3/2018;21550910.99
14/3/2018;21130284.65
15/3/2018;21083548.39
16/3/2018;21457438.47
17/3/2018;21363965.95
18/3/2018;21314655.76
19/3/2018;21433806.47
20/3/2018;21191615.35
21/3/2018;21564152.5
22/3/2018;21434969.91
23/3/2018;21223472.92
24/3/2018;21346418.57
25/3/2018;20854635.96
26/3/2018;21420185.97
27/3/2018;21420185.97
28/3/2018;21223472.92
29/3/2018;21690666.41
30/3/2018;21838201.19
31/3/2018;21666077.27
1/4/2018;22016963.97
2/4/2018;22169070.31
3/4/2018;22913727.64
4/4/2018;22841430.86
5/4/2018;22747645.89
6/4/2018;23041085.12
7/4/2018;23489891.38
8/4/2018;23614559.78
9/4/2018;23215620.89
10/4/2018;23639493.46
11/4/2018;23764161.87
12/4/2018;24163100.76
13/4/2018;23789095.55
14/4/2018;23510048.13
15/4/2018;24288956.59
16/4/2018;24044167.26
17/4/2018;24446739.41
18/4/2018;24969317.76
19/4/2018;25708391.7
20/4/2018;25708391.7
21/4/2018;25599332.57
22/4/2018;26117363.44
23/4/2018;25871980.4
24/4/2018;25844715.61
25/4/2018;24345152.57
26/4/2018;24454211.7
27/4/2018;24174989.25
28/4/2018;23468626.72
29/4/2018;23809993.3
30/4/2018;23902083.63
1/5/2018;25061393.69
2/5/2018;25215812.28
3/5/2018;25472874.97
4/5/2018;25758500.18
5/5/2018;25844187.74
6/5/2018;25330062.37
7/5/2018;25101562.2
8/5/2018;25072999.68
9/5/2018;25330062.37
10/5/2018;25787062.7
11/5/2018;24925804.13
12/5/2018;25868295.49
13/5/2018;25939204.6
14/5/2018;25853459.57
15/5/2018;25579888.23
16/5/2018;26448803.37
17/5/2018;26595941.45
18/5/2018;26095671.97
19/5/2018;26272237.67
20/5/2018;26625369.07
21/5/2018;26949072.85
22/5/2018;26125099.59
23/5/2018;27007928.09
24/5/2018;27026390.3
25/5/2018;27877613.62
26/5/2018;28594913.85
27/5/2018;28990826.39
28/5/2018;29318619.35
29/5/2018;28802752.29
30/5/2018;29750907.77
31/5/2018;29567393.8
1/6/2018;29689736.44
2/6/2018;29322708.52
3/6/2018;29536808.14
4/6/2018;30882577.21
5/6/2018;31700766.56
6/6/2018;31658883.46
7/6/2018;31598997.99
8/6/2018;32037484.27
9/6/2018;32069355.79
10/6/2018;30928134.04
11/6/2018;29700115.18
12/6/2018;29629942.67
13/6/2018;29629942.67
14/6/2018;29910632.69
15/6/2018;30261495.23
16/6/2018;31629859.1
17/6/2018;32226325.4
18/6/2018;32892964.21
19/6/2018;33464572.32
20/6/2018;33685317.89
21/6/2018;34446928.85
22/6/2018;34067322.37
23/6/2018;34328011.39
24/6/2018;34739731.26
25/6/2018;34811846.64
26/6/2018;34487327.41
27/6/2018;32720500.49
28/6/2018;32936846.64
29/6/2018;32612327.41
30/6/2018;31530596.64
