id,name,value,year,lastValue,rank
1103,Slovenia,17.743413778731444,2020,17.743413778731444,79
1104,Slovenia,21.81060743994602,2029,21.3586970331444,79
1105,Slovenia,17.743413778731444,2019,14.0,79
1106,Jordan,17.806580026315793,2022,17.356495510121462,80
1107,Jordan,19.60691809109312,2026,19.15683357489879,80
1108,Jordan,19.15683357489879,2025,18.706749058704457,80
1109,Jordan,18.256664542510126,2023,17.806580026315793,80
1110,Jordan,20.05700260728745,2027,19.60691809109312,80
1111,Jordan,20.507087123481785,2028,20.05700260728745,80
1112,Jordan,20.95717163967612,2029,20.507087123481785,80
1113,Jordan,16.90641099392713,2020,16.90641099392713,80
1114,Turkmenistan,15.0,2017,15.0,80
1115,Dominican Republic,15.0,2016,0.0,80
1116,Jordan,17.356495510121462,2021,16.90641099392713,80
1117,Puerto Rico,15.0,2018,14.0,80
1118,Jordan,16.90641099392713,2019,17.0,80
1119,Jordan,18.706749058704457,2024,18.256664542510126,80
1120,Tunisia,18.594727553306345,2025,18.207257607962216,81
1121,Tunisia,16.657377826585698,2020,16.657377826585698,81
1122,Tunisia,17.432317717273957,2022,17.04484777192983,81
1123,Mozambique,14.0,2017,12.0,81
1124,Tunisia,19.369667443994604,2027,18.982197498650475,81
1125,Tunisia,17.819787662618086,2023,17.432317717273957,81
1126,Tunisia,17.04484777192983,2021,16.657377826585698,81
1127,Tunisia,19.757137389338737,2028,19.369667443994604,81
1128,Turkmenistan,15.0,2018,15.0,81
1129,Tunisia,18.207257607962216,2024,17.819787662618086,81
1130,Syria,14.0,2016,0.0,81
1131,Tunisia,20.144607334682867,2029,19.757137389338737,81
1132,Tunisia,18.982197498650475,2026,18.594727553306345,81
1133,Tunisia,16.657377826585698,2019,16.0,81
1134,Turkmenistan,16.862119188933875,2022,16.42106165452092,82
1135,Turkmenistan,19.06740686099865,2027,18.626349326585697,82
1136,Syria,14.0,2017,14.0,82
1137,Turkmenistan,15.980004120107964,2019,15.0,82
1138,North Korea,14.0,2016,0.0,82
1139,Tajikistan,14.0,2018,14.0,82
1140,Turkmenistan,16.42106165452092,2021,15.980004120107964,82
1141,Turkmenistan,18.18529179217274,2025,17.744234257759786,82
1142,Turkmenistan,18.626349326585697,2026,18.18529179217274,82
1143,Turkmenistan,19.949521929824563,2029,19.508464395411607,82
1144,Turkmenistan,17.744234257759786,2024,17.30317672334683,82
1145,Turkmenistan,17.30317672334683,2023,16.862119188933875,82
1146,Turkmenistan,15.980004120107964,2020,15.980004120107964,82
1147,Turkmenistan,19.508464395411607,2028,19.06740686099865,82
1148,Dominican Republic,17.758673600539815,2025,17.36268796896087,83
1149,Dominican Republic,19.342616126855606,2029,18.946630495276658,83
1150,Puerto Rico,14.0,2017,18.0,83
1151,Dominican Republic,18.154659232118764,2026,17.758673600539815,83
1152,Dominican Republic,16.174731074224027,2021,15.778745442645077,83
1153,Dominican Republic,15.778745442645077,2020,15.778745442645077,83
1154,Dominican Republic,16.96670233738192,2023,16.570716705802973,83
1155,Dominican Republic,16.570716705802973,2022,16.174731074224027,83
1156,Slovenia,14.0,2018,14.0,83
1157,Dominican Republic,15.778745442645077,2019,16.0,83
1158,Slovenia,13.0,2016,0.0,83
1159,Dominican Republic,18.55064486369771,2027,18.154659232118764,83
1160,Dominican Republic,18.946630495276658,2028,18.55064486369771,83
1161,Dominican Republic,17.36268796896087,2024,16.96670233738192,83
