,country,value,year,rank
656,Singapore,54.34469936410258,2021,51
657,Singapore,61.87725868717951,2027,51
658,Singapore,63.13268524102566,2028,51
659,Singapore,60.62183213333336,2026,51
660,Singapore,59.3664055794872,2025,51
661,Singapore,58.11097902564104,2024,51
662,Singapore,64.38811179487182,2029,51
663,Algeria,60.1955367557355,2027,52
664,Uzbekistan,48.0,2017,52
665,Algeria,61.49014923144401,2028,52
666,Algeria,62.78476170715251,2029,52
667,Algeria,58.90092428002701,2026,52
668,Hong Kong,53.25328362739543,2021,52
669,El Salvador,6.21199574,2019,52
670,Algeria,57.60631180431851,2025,52
671,Hong Kong,55.26161972172741,2023,52
672,Hong Kong,54.25745167456142,2022,52
673,Algeria,56.31169932861,2024,52
674,Hong Kong,52.24911558022944,2020,52
675,Uzbekistan,49.0,2018,52
676,Hong Kong,56.26578776889341,2024,53
677,Hong Kong,58.27412386322539,2026,53
678,Algeria,53.722474377193,2022,53
679,Algeria,52.42786190148449,2021,53
680,Algeria,55.0170868529015,2023,53
681,Hong Kong,57.2699558160594,2025,53
682,Algeria,51.133249425776,2020,53
683,Portugal,47.0,2017,53
684,Hong Kong,59.27829191039138,2027,53
685,Hong Kong,61.28662800472337,2029,53
686,Moldova,5.9566105,2019,53
687,Hong Kong,60.28245995755738,2028,53
688,Portugal,48.0,2018,53
689,Belarus,48.78174600809718,2026,54
690,New Zealand,46.07568018846155,2022,54
691,New Zealand,47.2086591346154,2024,54
692,New Zealand,47.77514860769232,2025,54
693,Peru,47.0,2018,54
694,New Zealand,45.50919071538463,2021,54
695,New Zealand,46.64216966153848,2023,54
696,Luxembourg,5.816501,2019,54
697,Belarus,51.87635522267208,2029,54
698,New Zealand,44.942701242307706,2020,54
699,Belarus,49.81328241295548,2027,54
700,Peru,46.0,2017,54
701,Belarus,50.84481881781378,2028,54
702,Hong Kong,45.0,2018,55
703,Peru,50.30087195681511,2029,55
704,Belarus,42.59252757894738,2020,55
705,Belarus,44.655600388663984,2022,55
706,Hong Kong,44.0,2017,55
707,New Zealand,48.34163808076924,2026,55
708,Belarus,45.687136793522285,2023,55
709,Belarus,43.62406398380568,2021,55
710,New Zealand,48.90812755384616,2027,55
711,Armenia,5.7905171,2019,55
712,New Zealand,49.474617026923084,2028,55
713,Belarus,47.75020960323888,2025,55
714,Belarus,46.71867319838058,2024,55
715,Peru,48.35440568960863,2027,56
716,Kosovo,5.7154386,2019,56
717,Peru,46.40793942240215,2025,56
718,Iraq,44.0,2018,56
719,Peru,47.3811725560054,2026,56
720,Peru,44.46147315519568,2023,56
721,Peru,49.32763882321187,2028,56
722,Peru,43.48824002159244,2022,56
